1,New York City ,New York ,&0000000008250567.0000008,250,567
2 ,Los Angeles ,California ,&0000000003849378.0000003,849,378
3 ,Chicago ,Illinois ,&0000000002833321.0000002,833,321
4 ,Houston ,Texas ,&0000000002144491.0000002,144,491
5 ,Phoenix ,Arizona ,&0000000001512986.0000001,512,986
6 ,Philadelphia ,Pennsylvania ,&0000000001448394.0000001,448,394
7 ,San Antonio ,Texas ,&0000000001296682.0000001,296,682
8 ,San Diego ,California ,&0000000001256951.0000001,256,951
9 ,Dallas ,Texas ,&0000000001232940.0000001,232,940
10 ,San Jose ,California ,&0000000000929936.000000929,936
11 ,Detroit ,Michigan ,&0000000000918849.000000918,849
12 ,Jacksonville ,Florida ,&0000000000794555.000000794,555
13 ,Indianapolis ,Indiana ,&0000000000785597.000000785,597
14 ,San Francisco ,California ,&0000000000744041.000000744,041
15 ,Columbus ,Ohio ,&0000000000733203.000000733,203
16 ,Austin ,Texas ,&0000000000709893.000000709,893
17 ,Memphis ,Tennessee ,&0000000000670902.000000670,902
18 ,Fort Worth ,Texas ,&0000000000653320.000000653,320
19 ,Baltimore ,Maryland ,&0000000000640961.000000640,961
20 ,Charlotte ,North Carolina ,&0000000000630478.000000630,478
21 ,El Paso ,Texas ,&0000000000609415.000000609,415
22 ,Milwaukee ,Wisconsin ,&0000000000602782.000000602,782
23 ,Boston ,Massachusetts ,&0000000000590763.000000590,763
24 ,Seattle ,Washington ,&0000000000582454.000000582,454
25 ,Washington ,District of Columbia ,&0000000000581530.000000581,530
26 ,Denver ,Colorado ,&0000000000566974.000000566,974
27 ,Louisville ,Kentucky ,&0000000000554496.000000554,496
28 ,Las Vegas ,Nevada ,&0000000000552539.000000552,539
29 ,Nashville ,Tennessee ,&0000000000552120.000000552,120
30 ,Oklahoma City ,Oklahoma ,&0000000000537734.000000537,734
31 ,Portland ,Oregon ,&0000000000537081.000000537,081
32 ,Tucson ,Arizona ,&0000000000518956.000000518,956
33 ,Albuquerque ,New Mexico ,&0000000000504949.000000504,949
34 ,Atlanta ,Georgia ,&0000000000486411.000000486,411
35 ,Long Beach ,California ,&0000000000472494.000000472,494
36 ,Fresno ,California ,&0000000000466714.000000466,714
37 ,Sacramento ,California ,&0000000000453781.000000453,781
38 ,Mesa ,Arizona ,&0000000000447541.000000447,541
39 ,Kansas City ,Missouri ,&0000000000447306.000000447,306
40 ,Cleveland ,Ohio ,&0000000000444323.000000444,323
41 ,Virginia Beach ,Virginia ,&0000000000435619.000000435,619
42 ,Omaha ,Nebraska ,&0000000000427872.000000427,872
43 ,Miami ,Florida ,&0000000000404048.000000404,048
44 ,Oakland ,California ,&0000000000397067.000000397,067
45 ,Tulsa ,Oklahoma ,&0000000000382872.000000382,872
46 ,Honolulu ,Hawaii ,&0000000000377357.000000377,357
47 ,Minneapolis ,Minnesota ,&0000000000372833.000000372,833
48 ,Colorado Springs ,Colorado ,&0000000000372437.000000372,437
49 ,Arlington ,Texas ,&0000000000367197.000000367,197
