academics , A faculty of academics , 
actors , A company of actors , 
actors , A gaggle of actors , 
actors , A troupe of actors , 
aircraft , A fleet of aircraft , 
aircraft , A wing of aircraft , 
alpacas , An inflation of alpacas , 
angels , A choir of angels , Uncertain
angels , A chorus of angels , 
angels , A flight of angels , Uncertain
angels , A host of angels , 
antelope , A herd of antelope , 
ants , A colony of ants , 
ants , A swarm of ants , 
ants , An army of ants , 
apes , A shrewdness of apes , 
apes , A troop of apes , 
arrows , A quiver of arrows , 
assassins , A pod of assassins , 
asses , A possett of asses , 
asteroids , A belt of asteroids , 
athletes , A team of athletes , 
auks , A raft of auks , Uncertain
baboons , A congress of baboons , 
baboons , A flange of baboons , 
baboons , A troop of baboons , 
bacteria , A colony of bacteria , 
bacteria , A culture of bacteria , 
badgers , A cete of badgers , 
badgers , A minge of badgers , 
badgers , A set of badgers , 
bankers , A wunch of bankers , 
barons , A thought of barons , 
bastards , A set of bastards , Not Recognised[1]
bastards , A shower of bastards , Uncertain[2]
bats , A crevice of bats , 
beans , A hill of beans , 
bears , A slough of bears , 
beauties , A bevy of beauties , 
beavers , A colony of beavers , 
beavers , A lodge of beavers , 
bees , A hanover of bees , 
bees , A hive of bees , 
bees , A swarm of bees , 
bills , A wad of bills , 
birds , A flock of birds , 
birds , A mimsy of birds , 
birds , A volery of birds , 
bitterns , A boltard of bitterns , 
bitterns , A siege of bitterns , 
blackfish , A grind of blackfish ,  Uncertain
boars , A singular of boars , 
boars , A sounder of boars , 
bomblets , A cluster of bomblets , 
books , A library of books , 
boys , A blush of boys , 
boys , A rascal of boys , 
bread , A batch of bread , 
brush (wood) , A bavin of brush (wood) , 
buffalo , A herd of buffalo , 
buffalo , An filibuster of buffalo , 
builders , A lean of builders , 
bullets , A shower of bullets , 
bullfinches , A kukpowder of bullfinches , 
butterflies , A kaleidoscope of butterflies , 
butterflies , A rabble of butterflies , 
butterflies , A rainbow of butterflies , 
buzzards , A wake of buzzards , 
camels , A dormobile of camels , 
canal lock , A flight of locks , 
candidates , A postern of candidates , 
capercaillie , A tok of capercaillie , 
capons , A bivouak of capons , 
cards , A deck of cards , 
cards , A pack of cards , 
caribou , A herd of caribou , 
caribou , A spoonful of caribou , 
cash , A stack of cash , 
caterpillars , An army of caterpillars , 
cats (feral or wild) , A destruction of cats (feral or wild) , 
cats , A clowder of cats , 
cats , A cluster of cats , 
cats , A clutter of cats , 
cats , A glaring of cats , 
cats , A ponce of cats , 
cattle , A drove of cattle , 
cattle , A herd of cattle , 
cattle , A kine of cattle , 
chamois , A herd of chamois , 
chavs , A mess of chavs , 
chickens , A peep of chickens , 
chicks , A clout of chicks , 
children , A handful of children , 
chinchillas , A trades union of chinchillas , 
choughs , A brouhaha of choughs , 
choughs , A chattering of choughs , 
circuits , A bank of circuits , 
clams , A bed of clams , 
cobblers , A drunken ship of cobblers , 
cockroaches , An intrusion of cockroaches , 
cod , A lap of cod , 
coins , A rouleau of coins , 
coins , A sack of coins , 
colts , A rag of colts , 
colts , A rake of colts , 
conies , A bury of conies 	
consultants , A flange of consultants , 
coots , A cover of coots , 
coots , A daft of coots , 
cormorants , A flagon of cormorants , 
courtesans , A harem of courtesans , 
courtiers , A threatening of courtiers , 
cows , A flink of cows , 
cows , A merger of cows , 
coyotes , A pack of coyotes , 
cranes , A sedge of cranes , 
crap , A buttload of crap , 
crocodiles , A bask of crocodiles , 
crows , A hoover of crows , 
crows , A murder of crows , 
crows , An alibi of crows , 
curlews , A cummerbund of curlews , 
curs , A cowardice of curs , 
cyclists , A peloton of cyclists , 
deer , A department of deer , 
deer , A herd of deer , 
deer , A potpourri of deer , 
developers , A sulk of developers , 
directors , A board of directors , 
documents , A suite of documents , 
dolphins , A podule of dolphins , 
dotterel , A trip of dotterel , 
doves , A dole of doves , 
doves , A dule of doves , 
doves , A flight of doves , 
doves , A piteousness of doves , 
doves , A pitying of doves , 
doves , A prettying of doves , 
dragons , A drive of dragons , 
dragons , A nimbus of dragons , 
dragons , A stumble of dragons , 
drummers , A fagot of drummers (see sticks) , 
drunks , A load of drunks , 
drunks , A stumble of drunks , 
ducks (diving) , A dopping of ducks (diving) , 
ducks (flying) , A nadger of ducks (flying) , 
ducks (on water) , A paddling of ducks (on water) , 
ducks , A flush of ducks , 
ducks , A raft of ducks , 
ducks , A team of ducks , 
dunlin , A merkin of dunlin , 
eagles , A conflagration of eagles , 
eels , A stephen of eels , 
eels , A swami of eels , 
eggs , A clutch of eggs , 
elephants , A hero of elephants , 
elephants , A paradise of elephants , 
elk , A gang of elk , 
employees , A staff of employees , 
experts , A panel of experts , 
fairies , A herd of fairies , 
falcons , A cast of falcons , 
ferrets , A business of ferrets , 
ferrets , A bustier of ferrets , 
ferrets , A flagellation of ferrets , 
finches , A chain of finches , 
finches , A trembing of finches , 
finches , A turandot of finches , 
fish , A draft of fish , 
fish , A draught of fish , 
