+-----------------+----------------------------+------------------------------------------+-------------------------+------------------------+
| organization_id | parent                     | name                                     | contact                 | organization_type      | 
+-----------------+----------------------------+------------------------------------------+-------------------------+------------------------+
|               1 | NULL                       | BlackArrow                               | NULL                    | BlackArrow             | 
|               2 | NULL                       | BlackArrow Inc                           | Michael Lavoie          | Content Provider       | 
|               3 | NULL                       | Client 1                                 | Client 1 Name           | Advertiser             | 
|               4 | Client 1                   | Brand 1                                  | Brand 1 Name            | Brand                  | 
|               5 | NULL                       | Content Provider 1                       | Content Provider 1 Name | Content Provider       | 
|               6 | NULL                       | Distributor 1                            | Distributor 1 Name      | Distribution Partner   | 
|               7 | NULL                       | Content Provider 2                       | Content Provider 2 Name | Content Provider       | 
|               8 | NULL                       | InternetDJ                               | Contact Name Required   | Content Provider       | 
|               9 | NULL                       | InternetDJ Content Provider              | Michael Bordash         | Content Provider       | 
|              10 | NULL                       | InterneDJ Distributor                    | Michael Bordash         | Distribution Partner   | 
|              11 | NULL                       | InternetDJ House                         | Michael Bordash         | Advertiser             | 
|              12 | InternetDJ House           | House Brand                              | Michael Bordash         | Brand                  | 
|              13 | NULL                       | World of Warcraft                        | Michael Bordash         | Advertiser             | 
|              14 | World of Warcraft          | World of Warcraft Game                   | Michael Bordash         | Brand                  | 
|              15 | NULL                       | ManiaTV                                  | Scott Cunningham        | Content Provider       | 
|              16 | NULL                       | ManiaTV                                  | Scott                   | Content Provider       | 
|              17 | NULL                       | ManiaTV                                  | Scott                   | Distribution Partner   | 
|              18 | NULL                       | AOL                                      | AOL                     | Distribution Partner   | 
|              19 | NULL                       | Dice                                     | john doe                | Advertiser             | 
|              20 | Dice                       | Dice                                     | dice                    | Brand                  | 
|              21 | NULL                       | Televisa Digital                         | Contact Name Required   | Content Provider       | 
|              22 | NULL                       | Yellow Pages                             | yellow pages            | Advertiser             | 
|              23 | Yellow Pages               | Yellow Pages                             | yellow pages            | Brand                  | 
|              24 | NULL                       | Alltel                                   | Alltel                  | Advertiser             | 
|              25 | Alltel                     | Alltel                                   | scott                   | Brand                  | 
|              26 | NULL                       | XM                                       | NULL                    | Advertiser             | 
|              27 | XM                         | XM                                       | NULL                    | Brand                  | 
|              28 | NULL                       | misc-ROS                                 | NULL                    | Advertiser             | 
|              29 | misc-ROS                   | misc-ROS                                 | NULL                    | Brand                  | 
|              30 | NULL                       | Fox Broadcasting Company                 | Ann-Marie Chediak       | Content Provider       | 
|              31 | NULL                       | Fox Broadcasting Company                 |                         | Content Provider       | 
|              32 | NULL                       | National Geographic Channel              |                         | Content Provider       | 
|              33 | NULL                       | Fox Reality Channel                      |                         | Content Provider       | 
|              34 | NULL                       | ESPN                                     |                         | Content Provider       | 
|              35 | NULL                       | Fox Broadcasting Company                 | NULL                    | Advertiser             | 
|              36 | Fox Broadcasting Company   | 24                                       | NULL                    | Brand                  | 
|              37 | Fox Broadcasting Company   | House                                    | NULL                    | Brand                  | 
|              38 | NULL                       | FX                                       | NULL                    | Advertiser             | 
|              39 | FX                         | Rescue Me                                | NULL                    | Brand                  | 
|              40 | FX                         | The Riches                               | NULL                    | Brand                  | 
|              41 | FX                         | Nip Tuck                                 | NULL                    | Brand                  | 
|              42 | Fox Broadcasting Company   | Prison Break                             | NULL                    | Brand                  | 
